id,artist,title
4395, william bell, crying all by myself
4396, william salter - you got style
4397, willie & the west, get away from me girl
4398, willie cooper & the, webs you don't love nobody
4399, willie cooper & the webs, you don't love nobody
4400, william dixon, our nation
4401, willie hobbs, how could my baby know
4402, willie hobbs, why does it hurt so bad
4403, willie hutch, what you gonna do after the party
4404, willie wade, when push comes to shove
4405, wilson love, funny money
4406, wilton crump, give your love to me
4407, windy city, hey it's over
4408, wisdom hill, gonna catch me a butterfly
4409, workshop, your my greatest hit
4410, wreckin crew band, i can't stop loving you
4411, wyle dixon, sad times
4412, wally cox, i need love
4413, walter scott & the kapers, i want to thank you
4414, walter scott & the kapers, i want to thank you
4415, wanda starr williams, when my love comes down
4416, war, baby it's cold outside
4417, watch tower, forever together
4418, watch tower, together forever
4419, water color, lover's prayer
4420, water color, lover's prayer
4421, watts line, i never meant to love you
4422, watts line, i never meant to love you
4423, wayne cannady, this song's for you
4424, we three l t d, girl i'll always love you
4425, webster lewis, since i've been gone
4426, wee & the revelations, ooo baby baby
4427, weldon irvine, morning sunrise
4428, wendy rene, crying all by myself
4429, wendy rene, young and foolish
4430, wendy walker, baby im for real
4431, wendy walker, sad girl
4432, wesley paige, blame it on your love
4433, wild honey, only september
4434, wild honey, yesterday wouldn't have been too soon
4435, wild wind, i'll be true
4436, will and the sweet sounding tornadoes, stand by me jesus
4437, william cummings, make my love a hurting thing
4438, william devaughn, be thankful for what you got
4439, william devaughn, hold on to love
4440, willie & anthony, one hand wash the other
4441, willie brown, love that stranger
4442, willie charles, lonely boy
4443, willie davis, i learned my lesson
4444, willie g, you're gonna make me cry
4445, willie griffen, i love you
4446, willie griffin & company, i love you
4447, willie hawkins & the ringleaders, let's start over
4448, willie hightower, too late
4449, willie hutch, your love keeps liftin me higher
4450, willie mason, no place like home
4451, willie phillips & the wisemen, lonely summer
4452, willie tee, first taste of hurt
4453, willie tee, man that i am
4454, willie tee, please don't go
4455, willie tee, teasing you  again
4456, willie tee, teasing you again
4457, willie west & the high society brothers, she's so wise
4458, willie west, after the storm
4459, willie williams, with all of my soul
4460, willie and west, watch yourself
4461, willis johnson & the j m's funk factory, tell me
4462, willlie pickett, on the stage of life
4463, wilson williams, i can't get used to losing you
4464, wilson williams, i got a whole lot to be thankful for
4465, wilton crump, give your love to me
4466, windy city, just for you
4467, windy city, win or lose
4468, witches and the warlock, the wanderer
4469, woman, that's how it is
4470, words of wisdom truth revue, you made me everything
4471, wyle dixon & the wheels, sad times
4472, yasin edition of heart full of love by the invincibles
4473, yes, i love the lord (1983) james l. craig & greater ebenezer missionary baptist church
4474, york street hustle, there is nothing better than love
4475, you don't know (1987), timothy wright & jerome l. ferrell & lighthouse inter denominational cho
4476, you me & him, hey love i'm for real
4477, you me & him, thief in the night
4478, young henry ford & the gifts, treat her nice
4479, young ladies, he's gone to another
4480, young ladies, i'm tired of running around
4481, young mods, i can't hurt you back
4482, yvonne daniels, i got to get close to you
4483, zodiac, miss you
4484, zerben r hicks and the dynamics, lights out
4485, zodiac, miss you
4486, zodiak & the killers, i like to be
4487, fantastic goldenaires, my life depends on you
4488, michael washington, little girl vocal capcity records
4489, the image, betcha didn't know
